taxon|rank|status|accepted_taxon|source_id
Abies alba||accepted||2
Festuca ovina||accepted||5647
Festuca ovina aggr.||accepted||5648
Festuca ovina s. l.||accepted||5649
Acer opalus aggr.||accepted||81
