stratum	canonical	uuid	name	sec_citation_uuid	sec_title
E_homonym	Micromeria	841cc49f-6ed6-49f9-b11d-825bfdb1e415	Micromeria Benth., nom. cons.,	a03c68ef-9641-47c6-9169-8151db09da97	BRUMMITT 1992
E_homonym	Pinus mugo subsp. uncinata	04e3e46d-b02b-4026-b1f1-c35c0155e045	Pinus mugo subsp. uncinata (Mill.) Domin s. l.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
E_homonym	Pinus mugo subsp. uncinata	35146f26-bd21-40ce-b489-dbbb3e4345a1	Pinus mugo subsp. uncinata (Mill.) Domin syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Pinus sylvestris var. haguensis	4447a8c1-b40d-4634-ad4b-59a65045a558	Pinus sylvestris var. haguensis Loud. syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Pinus sylvestris var. haguensis	b051b4a7-94eb-4a9e-bc3b-469338255d91	Pinus sylvestris var. haguensis Loud.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
E_homonym	Potamogeton marinus	147cc128-78aa-4332-b61d-cef3030d7db1	Potamogeton marinus Fr., nom. illeg., syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Potamogeton marinus	be15af54-9f29-47d9-8138-6d2b2b83d200	Potamogeton marinus L. syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Puccinellia distans subsp. distans	c74c2d9e-bbe7-4ce6-bc5c-2cea8df851ec	Puccinellia distans subsp. distans	6eeeeacc-1da9-4839-98d6-3169c4237ecd	TUTIN et al.: Flora Europaea
E_homonym	Puccinellia distans subsp. distans	e4713aa0-946c-4abb-b4da-a21c90324eda	Puccinellia distans subsp. distans syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Rhinanthus alectorolophus	22a1cd62-b62d-498b-9a38-8de187e2373e	Rhinanthus alectorolophus (Scop.) Pollich s. l.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
E_homonym	Rhinanthus alectorolophus	2609d162-e871-41e7-b705-74eed483ffc7	Rhinanthus alectorolophus (Scop.) Pollich s. str.	790d6644-39f3-4173-ae6c-ec6cbf951a10	EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl
E_homonym	Rhinanthus alectorolophus	615ec737-de60-45e3-8318-c94589225281	Rhinanthus alectorolophus (Scop.) Pollich s. l.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Rhinanthus alectorolophus	73a32d59-8ded-43d0-bf1c-556cd3bbd3fa	Rhinanthus alectorolophus (Scop.) Pollich s. str.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
E_homonym	Rhinanthus alectorolophus	7b8f6b28-d936-4470-b913-45890a424225	Rhinanthus alectorolophus (Scop.) Pollich s. l.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
E_homonym	Rhinanthus alectorolophus	9f7b6fe3-8155-4198-9f9f-b89bb0e389ca	Rhinanthus alectorolophus (Scop.) Pollich s. l.	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
E_homonym	Rhinanthus alectorolophus	b3706bf8-5b0b-4775-8d5c-aa75883aa9cf	Rhinanthus alectorolophus (Scop.) Pollich	f9161858-6d3c-46b3-8432-11292963dec1	Andere Referenzen (fuer Synonyme s. str.)
E_homonym	Rosa dumalis	36c6f328-1611-4a68-9ddb-7895c53a9ef2	Rosa dumalis Bechst. s. l.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
E_homonym	Rosa dumalis	44eb272b-df86-40c9-a346-99069b20f5ba	Rosa dumalis Bechst. s. l.	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
E_homonym	Rosa dumalis	7e24c2bf-aad7-4519-812d-b586e22cbee6	Rosa dumalis Bechst.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Rosa dumalis	cfca3c4f-eb36-4d42-92eb-104c469f9b4a	Rosa dumalis Bechst.	67084a65-5912-48c7-9dfb-78df353e280a	Andere Referenzen (fuer Synonyme s. l.)
E_homonym	Stellaria nemorum aggr.	52d29461-0f6b-4f9d-9d7c-26175a0691aa	Stellaria nemorum aggr. syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Stellaria nemorum aggr.	b9f26f6d-656d-4a91-a28a-23ab89261b5d	Stellaria nemorum aggr.	88892c5c-755c-4f98-970a-7974bb456afc	Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4
E_homonym	Thesium pyrenaicum subsp. alpestre	99e3e77e-3ae8-46d1-96f2-963aca382592	Thesium pyrenaicum subsp. alpestre (Brügger) O. Schwarz	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
E_homonym	Thesium pyrenaicum subsp. alpestre	a4e759cb-7b1e-4577-8215-950162fea48c	Thesium pyrenaicum subsp. alpestre (Brügger) O. Schwarz syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
E_homonym	Thesium pyrenaicum subsp. alpestre	c588dab9-06bb-4029-9c22-bed1c4d921bc	Thesium pyrenaicum subsp. alpestre (Brügger) O. Schwarz	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
